transactions,locations,total_amount,limit,result,risk_flag
1,1,2300.0,50000,0,Clean
3,1,9900.0,50000,0,Clean
3,1,4158.42,50000,0,Clean
5,4,36500.0,50000,2,Fraud
1,1,20990.44,50000,2,Fraud
4,4,25600.0,50000,2,Fraud
4,3,40000.0,50000,2,Fraud
1,1,41138.96,50000,2,Fraud
4,4,10400.0,50000,2,Fraud
5,1,10000.0,50000,0,Clean
4,3,9600.0,50000,2,Fraud
1,1,2700.0,50000,0,Clean
3,1,17100.0,50000,0,Clean
1,1,4500.0,50000,0,Clean
3,3,3600.0,50000,2,Fraud
4,3,30000.0,50000,2,Fraud
2,1,48663.33,50000,2,Fraud
1,1,3700.0,50000,0,Clean
1,1,7162.71,50000,0,Clean
3,1,41818.78,50000,2,Fraud
3,3,14815.49,50000,2,Fraud
1,1,42692.03,50000,2,Fraud
5,1,9370.66,50000,0,Clean
4,1,16213.4,50000,2,Fraud
5,1,40000.0,50000,0,Suspecious
3,3,30151.03,50000,2,Fraud
5,1,38011.79,50000,2,Fraud
5,5,43000.0,50000,2,Fraud
5,3,44500.0,50000,2,Fraud
2,1,2119.59,50000,0,Clean
3,2,12000.0,50000,0,Clean
5,1,17091.78,50000,2,Fraud
5,1,42000.0,50000,0,Suspecious
1,1,653.95,50000,0,Clean
1,1,9000.0,50000,0,Clean
3,3,2795.69,50000,2,Fraud
2,2,11800.0,50000,1,Clean
2,2,8316.69,50000,1,Clean
4,4,14800.0,50000,2,Fraud
4,2,17623.87,50000,2,Fraud
3,2,22200.0,50000,0,Clean
5,3,50000.0,50000,2,Fraud
1,1,28840.59,50000,2,Fraud
1,1,29659.96,50000,2,Fraud
5,3,16000.0,50000,2,Fraud
2,1,9800.0,50000,0,Clean
4,3,7055.9,50000,2,Fraud
3,3,178.86,50000,2,Fraud
1,1,700.0,50000,0,Clean
4,4,187.59,50000,2,Fraud
5,5,35151.41,50000,2,Fraud
2,1,34107.46,50000,2,Fraud
5,5,19000.0,50000,2,Fraud
1,1,6900.0,50000,0,Clean
2,1,49988.55,50000,2,Fraud
4,4,10521.79,50000,2,Fraud
3,3,23100.0,50000,2,Fraud
5,2,7000.0,50000,0,Clean
5,3,47000.0,50000,2,Fraud
1,1,168.31,50000,0,Clean
5,3,25740.72,50000,2,Fraud
5,3,38505.15,50000,2,Fraud
2,2,15800.0,50000,1,Clean
2,2,4800.0,50000,1,Clean
5,1,48784.71,50000,2,Fraud
2,1,11800.0,50000,0,Clean
5,1,27611.24,50000,2,Fraud
4,3,9200.0,50000,2,Fraud
5,2,33000.0,50000,0,Clean
3,1,3000.0,50000,0,Clean
5,5,38862.79,50000,2,Fraud
1,1,9200.0,50000,0,Clean
5,4,12500.0,50000,2,Fraud
4,2,8400.0,50000,0,Clean
5,3,25500.0,50000,2,Fraud
2,2,15056.81,50000,2,Fraud
1,1,15394.02,50000,2,Fraud
5,2,48500.0,50000,0,Clean
2,2,6000.0,50000,1,Clean
4,2,36442.85,50000,2,Fraud
1,1,43871.53,50000,2,Fraud
2,2,4000.0,50000,1,Clean
4,2,18000.0,50000,0,Clean
1,1,14217.95,50000,2,Fraud
2,1,41754.13,50000,2,Fraud
4,3,26918.16,50000,2,Fraud
3,2,21823.25,50000,2,Fraud
2,2,21582.54,50000,2,Fraud
4,3,9200.0,50000,2,Fraud
2,1,25979.01,50000,2,Fraud
4,2,2800.0,50000,0,Clean
2,1,26349.28,50000,2,Fraud
4,1,27600.0,50000,0,Clean
2,2,2200.0,50000,1,Clean
1,1,3300.0,50000,0,Clean
2,1,20526.39,50000,2,Fraud
5,1,29101.85,50000,2,Fraud
2,1,3448.81,50000,0,Clean
1,1,26732.61,50000,2,Fraud
5,2,30500.0,50000,0,Clean
1,1,44902.74,50000,2,Fraud
5,2,3500.0,50000,0,Clean
5,5,13500.0,50000,2,Fraud
3,1,2400.0,50000,0,Clean
4,1,30818.45,50000,2,Fraud
1,1,400.0,50000,0,Clean
4,1,36400.0,50000,0,Suspecious
4,2,16962.11,50000,2,Fraud
2,2,3148.42,50000,1,Clean
3,1,1500.0,50000,0,Clean
4,1,14445.03,50000,2,Fraud
2,2,7110.13,50000,1,Clean
4,1,14800.0,50000,0,Clean
1,1,31014.2,50000,2,Fraud
1,1,13850.47,50000,2,Fraud
3,3,16500.0,50000,2,Fraud
1,1,3900.0,50000,0,Clean
5,4,32613.21,50000,2,Fraud
1,1,7500.0,50000,0,Clean
5,1,44000.0,50000,0,Suspecious
1,1,3100.0,50000,0,Clean
4,3,40957.48,50000,2,Fraud
1,1,42899.66,50000,2,Fraud
4,2,32800.0,50000,0,Clean
2,1,34786.92,50000,2,Fraud
2,1,10706.13,50000,2,Fraud
2,1,824.4,50000,0,Clean
