transaction,location,total_amount,limit,result
2,4,37697,50000,1
2,1,8120,50000,2
2,3,42454,50000,1
1,3,45306,50000,0
2,4,24367,50000,2
4,4,1291,50000,0
4,2,43814,50000,1
2,3,42608,50000,1
4,3,43878,50000,2
3,1,8863,50000,1
5,2,39279,50000,0
5,3,19484,50000,0
4,2,34046,50000,2
1,2,7805,50000,1
2,2,1028,50000,0
2,1,47793,50000,2
5,3,37267,50000,2
3,5,49127,50000,1
5,5,46725,50000,0
5,3,47602,50000,1
3,5,19030,50000,1
4,4,20367,50000,1
3,4,42044,50000,1
3,4,13457,50000,0
2,5,38044,50000,1
4,2,24109,50000,0
5,1,458,50000,1
5,2,12627,50000,1
5,5,16108,50000,2
4,1,23582,50000,2
3,3,10169,50000,1
5,5,48599,50000,2
4,4,28155,50000,2
2,1,10254,50000,0
2,2,45290,50000,0
4,1,27075,50000,2
1,4,14064,50000,2
2,2,23436,50000,1
3,5,24179,50000,2
5,2,42937,50000,1
4,1,39781,50000,0
2,3,2062,50000,1
3,2,38777,50000,0
1,2,20041,50000,2
3,5,33802,50000,2
3,4,15669,50000,1
5,4,471,50000,2
1,1,41565,50000,2
2,1,17601,50000,0
2,2,48243,50000,0
5,5,19258,50000,1
3,3,27688,50000,0
2,2,30685,50000,0
3,4,35322,50000,2
2,1,28855,50000,0
5,5,25448,50000,1
4,3,20403,50000,2
4,1,11162,50000,1
2,4,48656,50000,2
4,2,33387,50000,0
5,3,44198,50000,2
3,4,10321,50000,0
1,1,462,50000,2
5,3,29156,50000,1
3,3,21170,50000,1
4,2,18127,50000,0
2,3,49088,50000,2
1,5,17346,50000,2
5,4,49132,50000,2
2,5,32149,50000,1
2,4,45433,50000,2
4,3,31658,50000,0
5,2,3979,50000,1
4,5,39440,50000,1
3,5,11953,50000,1
3,5,44854,50000,2
1,3,383,50000,0
2,2,36900,50000,2
4,2,39448,50000,2
5,1,27857,50000,1
4,4,190,50000,0
4,5,4548,50000,1
3,1,23751,50000,1
5,3,34601,50000,1
2,5,44095,50000,1
5,5,1941,50000,0
1,1,46699,50000,0
4,4,7656,50000,0
4,3,22266,50000,2
1,1,10912,50000,0
4,5,2923,50000,0
5,2,4429,50000,1
1,3,16936,50000,0
5,3,102,50000,1
4,1,44652,50000,0
1,4,46800,50000,2
5,1,34421,50000,2
1,2,45559,50000,1
3,4,33339,50000,0
2,4,49264,50000,1
4,4,12269,50000,0
2,2,25429,50000,0
4,2,16127,50000,0
3,4,22885,50000,2
3,1,17314,50000,2
3,5,33567,50000,0
2,1,10868,50000,2
5,4,35646,50000,0
1,5,37709,50000,0
1,3,22471,50000,1
1,5,29911,50000,1
2,5,15180,50000,1
3,2,21889,50000,2
2,2,12383,50000,2
5,1,20268,50000,2
1,1,4010,50000,2
2,4,16424,50000,2
2,1,28577,50000,0
4,4,41209,50000,0
3,3,31344,50000,0
1,2,14287,50000,1
2,5,17120,50000,1
4,3,46917,50000,0
4,1,38101,50000,0
3,1,25011,50000,1
5,1,41060,50000,2
3,5,19785,50000,1
1,5,21709,50000,0
1,2,3399,50000,2
3,4,22138,50000,0
4,1,6205,50000,1
2,3,26486,50000,1
5,2,12947,50000,0
1,4,32686,50000,0
1,2,45178,50000,1
2,4,29725,50000,0
5,1,16906,50000,0
4,3,22082,50000,0
2,2,40038,50000,1
5,1,690,50000,2
1,5,47552,50000,2
1,1,21285,50000,0
4,4,28296,50000,1
1,2,8378,50000,2
1,1,41672,50000,0
4,1,12431,50000,0
2,2,25736,50000,0
2,1,5734,50000,0
4,1,3493,50000,0
1,4,7699,50000,0
3,3,30606,50000,2
4,1,35678,50000,2
5,3,9420,50000,1
4,5,35215,50000,1
1,1,42009,50000,2
2,2,48493,50000,1
2,1,14657,50000,2
3,4,23390,50000,0
1,1,45063,50000,0
4,4,4482,50000,0
5,2,49438,50000,0
4,4,6541,50000,1
5,4,26250,50000,2
5,3,12126,50000,1
5,5,41693,50000,2
2,1,14464,50000,1
1,5,3091,50000,0
1,3,42963,50000,2
3,3,23075,50000,2
5,5,1369,50000,1
3,5,17440,50000,1
1,1,18307,50000,2
1,3,9261,50000,2
2,4,40776,50000,2
5,5,1362,50000,2
3,4,2712,50000,1
4,3,28734,50000,2
5,4,17732,50000,0
3,4,45580,50000,1
1,3,15437,50000,1
2,3,37834,50000,0
1,2,18441,50000,1
3,2,36538,50000,1
5,1,30789,50000,1
1,4,45324,50000,2
4,4,41117,50000,2
2,2,3170,50000,1
5,5,38906,50000,1
5,3,26277,50000,2
3,4,11352,50000,0
5,4,35596,50000,0
2,2,45576,50000,2
2,1,34358,50000,0
4,4,19079,50000,2
5,3,8026,50000,2
1,3,18487,50000,0
2,4,11823,50000,0
5,1,9459,50000,2
1,3,44204,50000,0
4,5,44102,50000,1
1,1,7985,50000,1
4,4,763,50000,1
3,5,17989,50000,1
3,1,29514,50000,1
3,2,41072,50000,0
1,1,34693,50000,0
2,4,30250,50000,2
5,4,47849,50000,2
5,1,18194,50000,0
5,2,18040,50000,0
3,4,24330,50000,0
2,2,12857,50000,2
4,2,8973,50000,2
2,2,28029,50000,2
5,3,45151,50000,0
3,1,33184,50000,1
2,3,1046,50000,2
2,4,40797,50000,2
5,3,965,50000,0
2,1,5573,50000,0
1,5,8702,50000,2
1,4,10639,50000,1
3,1,7014,50000,1
1,1,13257,50000,2
3,5,14085,50000,2
1,5,30827,50000,1
1,4,45605,50000,2
4,3,10431,50000,2
5,4,3985,50000,2
4,4,14890,50000,1
5,4,29080,50000,0
2,2,42251,50000,0
5,5,14572,50000,2
3,4,2290,50000,1
2,2,22118,50000,1
3,2,35001,50000,1
1,2,2882,50000,0
2,4,14840,50000,1
5,2,6138,50000,1
5,1,49477,50000,1
3,3,26555,50000,0
2,1,35025,50000,0
3,3,18767,50000,2
5,5,31217,50000,0
3,1,34572,50000,2
1,3,30376,50000,1
2,1,9447,50000,0
5,1,15900,50000,0
5,5,28638,50000,1
1,2,10958,50000,2
3,5,27381,50000,1
2,3,5780,50000,0
3,1,22891,50000,1
1,3,24805,50000,2
4,5,7352,50000,1
1,3,13574,50000,0
4,5,15694,50000,0
2,2,18300,50000,2
2,3,3897,50000,2
1,3,2237,50000,2
2,3,27834,50000,1
1,5,2511,50000,2
4,1,25530,50000,1
1,3,649,50000,2
5,5,39247,50000,1
5,1,29966,50000,1
5,3,16784,50000,0
4,3,28892,50000,1
1,3,32356,50000,1
4,1,43094,50000,1
4,4,29375,50000,0
4,3,4098,50000,0
2,5,17308,50000,2
4,2,38015,50000,0
3,5,5833,50000,2
2,3,7836,50000,0
1,4,39257,50000,1
3,1,45503,50000,2
4,4,33450,50000,2
3,2,7432,50000,2
1,4,25727,50000,1
3,2,22947,50000,2
2,5,11051,50000,1
5,3,12729,50000,2
5,4,43158,50000,2
2,5,1798,50000,0
5,5,41649,50000,1
1,2,2275,50000,1
4,1,16237,50000,0
5,4,5316,50000,0
1,1,9022,50000,0
3,4,417,50000,2
5,1,24678,50000,0
5,2,10139,50000,2
5,1,18158,50000,0
2,3,15460,50000,0
3,1,18245,50000,2
5,4,2723,50000,1
2,1,35049,50000,2
4,5,6297,50000,0
1,2,47665,50000,1
2,3,8567,50000,0
5,1,20323,50000,0
4,5,14596,50000,1
4,1,21163,50000,1
4,1,13100,50000,2
3,2,25667,50000,0
4,5,46858,50000,1
2,3,19022,50000,0
5,2,47199,50000,2
2,3,20670,50000,2
5,2,9045,50000,2
1,3,42430,50000,2
5,2,45987,50000,0
1,2,42924,50000,2
1,2,17847,50000,2
1,1,2175,50000,1
4,4,18187,50000,2
5,4,26555,50000,0
5,1,20807,50000,0
3,3,28130,50000,1
2,2,49642,50000,1
